Mensagem,Tópico
Olá,Outros
Opa,Outros
"Salve, ",Outros
"Fiquem a vontade para incluir nessa tarefa outros tópicos, como por exemplo um item próximos passos",Outros
Boa Tarde !!!,Outros
‎STK-20241002-WA0030.webp (arquivo anexado),Outros
"Pessoal, ",Outros
Esse trabalho é fonte de outro trabalho importante da FGV sobre o tema.  Ainda não revisei todo o conteúdo dos 5 dias da Consulta Aberta do CNJ e não posso confirmar ainda se há menção ao texto.  Vou enviar também essa bibliografia.,Aplicações Jurídicas Práticas
Seja bem vindo Victor.,Aplicações Jurídicas Práticas
"Muito obrigado, Luiz. Vamos juntos descobrir como usar da melhor maneira a IA no Direito.",Aplicações Jurídicas Práticas
‎Entendendo Algoritmos Definições e Aplicações na Matemática e Informática.pdf (arquivo anexado),Conceitos Técnicos
o arquivo acima é o registro na blockchain do estado das discussões.,Conceitos Técnicos
‎2024-10-06_07-12-14-Carta Ética Europeia sobre a utilização da IA nos sistemas judiciais e no respetivo ambiente.pdf (arquivo anexado),Questões Éticas e Regulatórias
"Pessoal, com esses dois trabalhos que deixo aqui para vocês vou aproveitar para focar nos processos que preciso acompanhar aqui. A conta do uso nessas duas últimas semanas chegou e veio bem cara. Vou pesquisar modelos mais baratos para que possamos manter a operação do grupo.",Aplicações Jurídicas Práticas
"Para o próximo encontro, seria muito bom que alguns de vocês já pesquisassem sobre duas ferramentas que vou deixar o link abaixo: obsidian e zotero.",Ferramentas e Plataformas
https://obsidian.md,Ferramentas e Plataformas
https://www.zotero.org,Ferramentas e Plataformas
Seja bem vindo Dr Wanderlei!,Ferramentas e Plataformas
"Bem vindo Dr. Wanderlei. É um prazer tê-lo conosco. Fique a vontade para se apresentar ao grupo e falar um pouco de como acredita que um grupo de estudos como o nosso pode te ajudar. Se quiser acrescentar mais informações, fique a vontade.  Depois compartilharei uma pasta com os materiais que estamos produzindo.",Ferramentas e Plataformas
Obrigado @5511960285788 por trazer uma amigo.,Ferramentas e Plataformas
"boa noite. Tenho trauma do zotero. Há algum tempo, tentei e não consegui usar.",Ferramentas e Plataformas
Então vamos resolver isso meu amigo.,Ferramentas e Plataformas
Bem vindo Caio,Ferramentas e Plataformas
Se apresenta aí pro grupo. Pra gente te dar as boas vindas,Ferramentas e Plataformas
Sou advogado e moro em Bauru SP,Ferramentas e Plataformas
"Bem-vindo, Caio.",Ferramentas e Plataformas
Seja bem-vindo!!!,Ferramentas e Plataformas
"Obg. Bom dia. Meu nome é vallerie maia. Conforme conversava com luiz Peixoto ontem, o PNe é um projeto/pratica conceitual que ja venho adotando antes da pandemia e pretendo aperfeiçoar/automatizar com o uso da IA. Espero contribuir com os demais compartilhando experiências com uso da IA no fluxo de trabalho para gerarmos valor mútuo neste grupo.",Ferramentas e Plataformas
